Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
No,0.347049,0.127805,0.678882,0.156574,0.13835,0.021504,0.5,0.5575760000000001,0.707391,0.000319,0.127805
No,0.001181,0.102568,0.705717,0.44751599999999997,0.204604,0.192487,0.25,0.648044,0.595002,8e-05,0.102568
Yes,0.264272,0.333662,0.696462,0.0059960000000000005,0.048485,0.006790999999999999,0.5,4.9e-05,0.004365,0.0,0.333662
No,0.52362,0.157655,0.7034229999999999,0.231111,0.332444,0.289441,0.25,0.7404689999999999,0.624754,0.00043,0.157655
No,0.22770100000000001,0.10816600000000001,0.699575,0.207715,0.036321,0.028294999999999997,0.25,0.7724840000000001,0.8632879999999999,0.000493,0.10816600000000001
Yes,0.835925,0.424051,0.696289,0.004876,0.0037189999999999996,0.010435,0.5,0.155097,0.000781,0.0,0.424051
No,0.885484,0.13816199999999998,0.682461,0.142786,0.141111,0.34365300000000004,0.25,0.307841,0.669859,0.000338,0.13816199999999998
No,0.09439600000000001,0.072976,0.734201,0.305171,0.125201,0.087214,0.25,0.7724840000000001,0.69401,5.1e-05,0.072976
No,0.919602,0.129228,0.716969,0.1913,0.011992000000000001,0.389468,0.25,0.406641,0.563026,0.000147,0.129228
Yes,0.39353699999999997,0.488868,0.696293,0.004998,0.055105999999999995,0.026325,0.5,0.153607,0.001064,1e-06,0.488868
No,0.42343800000000004,0.05461799999999999,0.691534,0.193744,0.125829,0.25369400000000003,0.25,0.743992,0.842606,7.7e-05,0.05461799999999999
Yes,0.8575020000000001,0.48128999999999994,0.6963060000000001,0.0048850000000000005,0.017122,0.008003,0.5,0.308179,0.0005480000000000001,0.0,0.48128999999999994
No,0.237596,0.145373,0.703579,0.308772,0.16132,0.260864,0.25,0.446679,0.554354,0.00021600000000000002,0.145373
No,0.9904280000000001,0.14424800000000002,0.691958,0.327428,0.084797,0.08768200000000001,0.25,0.602897,0.7040569999999999,0.00047400000000000003,0.14424800000000002
No,0.992133,0.088638,0.758356,0.32819899999999996,0.11524100000000001,0.05442,0.25,0.7797310000000001,0.5573670000000001,3.6e-05,0.088638
No,0.653729,0.103375,0.673996,0.107852,0.058419000000000006,0.043008,0.25,0.578771,0.784554,0.000261,0.103375
Yes,0.374899,0.40320100000000003,0.695857,0.004642,0.021683,0.022749000000000002,1.0,0.040422,0.003104,2e-06,0.40320100000000003
Yes,0.817736,0.48716099999999996,0.696267,0.004757,0.004989,0.05184,0.5,0.19399999999999998,0.0012980000000000001,2e-06,0.48716099999999996
No,0.436546,0.053528,0.704467,0.282857,0.010518000000000001,0.07763300000000001,0.25,0.6063729999999999,0.59143,0.0,0.053528
No,0.571967,0.036086,0.719276,0.209511,0.136377,0.038497,0.5,0.5575760000000001,0.742348,0.0,0.036086
No,0.408413,0.135186,0.7182890000000001,0.321964,0.197401,0.16198800000000002,0.25,0.767332,0.74066,0.00046399999999999995,0.135186
Yes,0.43559200000000003,0.304259,0.6950029999999999,0.0058460000000000005,0.0037189999999999996,0.004527000000000001,0.5,0.089053,0.013980000000000001,3e-06,0.304259
No,0.14213399999999998,0.17064100000000001,0.688248,0.29989499999999997,0.11858800000000001,0.113371,0.25,0.591026,0.6587029999999999,0.0007030000000000001,0.17064100000000001
Yes,0.147765,0.343077,0.696132,0.007228,0.046564,0.005659,0.25,0.377692,0.016523,1.2e-05,0.343077
No,0.798193,0.13337100000000002,0.681092,0.125169,0.12231900000000001,0.038977,0.25,0.567869,0.755739,0.00048300000000000003,0.13337100000000002
No,0.198625,0.079438,0.723757,0.407492,0.178066,0.227613,0.25,0.404855,0.637778,4.4e-05,0.079438
Yes,0.164576,0.282077,0.696702,0.016817,0.007056000000000001,0.054100999999999996,0.25,0.12637400000000001,0.068487,5.2000000000000004e-05,0.282077
No,0.6143569999999999,0.148529,0.68245,0.381023,0.40222800000000003,0.23801999999999998,0.25,0.7227060000000001,0.625575,0.00034500000000000004,0.148529
No,0.485754,0.170498,0.691554,0.407481,0.24336799999999997,0.182502,0.25,0.632584,0.683673,0.0008,0.170498
No,0.035339999999999996,0.131055,0.7225020000000001,0.22902199999999998,0.17927300000000002,0.06632300000000001,0.25,0.567869,0.36502199999999996,4.2e-05,0.131055
Yes,0.860175,0.237719,0.692886,0.008366,0.009406999999999999,0.031871,0.5,0.381417,0.04899,8e-06,0.237719
No,0.687552,0.154481,0.694599,0.35589699999999996,0.17286500000000002,0.09333,0.25,0.77315,0.652546,0.000462,0.154481
Yes,0.421357,0.34084200000000003,0.696214,0.006220000000000001,0.0,0.015844999999999998,0.25,0.295815,0.013644,7.000000000000001e-06,0.34084200000000003
No,0.386743,0.131706,0.674908,0.25510700000000003,0.24579299999999998,0.187907,0.25,0.767332,0.839958,0.000766,0.131706
No,0.45398,0.119584,0.662862,0.175433,0.21791100000000002,0.109028,0.25,0.7710140000000001,0.775984,0.000383,0.119584
No,0.5463,0.18111,0.68489,0.309777,0.14774600000000002,0.11209300000000001,0.25,0.45924,0.567122,0.000558,0.18111
No,0.9923540000000001,0.138461,0.694168,0.08319800000000001,0.074465,0.021858000000000002,0.25,0.771208,0.667259,0.000336,0.138461
No,0.9056129999999999,0.12063900000000001,0.688254,0.222827,0.182553,0.09944299999999999,0.25,0.7668020000000001,0.709334,0.000267,0.12063900000000001
No,0.389406,0.122064,0.695362,0.217588,0.072888,0.10823800000000001,0.25,0.762992,0.6256520000000001,0.000173,0.122064
No,0.21601599999999999,0.171913,0.670088,0.21239499999999997,0.041873,0.029708,0.25,0.7724840000000001,0.6936770000000001,0.000872,0.171913
No,0.747999,0.130219,0.6940470000000001,0.22051500000000002,0.13304100000000002,0.44350200000000006,0.25,0.372431,0.626097,0.00021600000000000002,0.130219
No,0.406378,0.208637,0.686419,0.368481,0.024214,0.094489,0.25,0.6063729999999999,0.599173,0.00125,0.208637
Yes,0.4352,0.5528569999999999,0.696293,0.004786,0.10193300000000001,0.009125,0.5,0.07683200000000001,0.0001,0.0,0.5528569999999999
No,0.315832,0.132089,0.680792,0.145862,0.075204,0.050615,0.0,0.578771,0.6704100000000001,0.00029,0.132089
No,0.680129,0.335016,0.696433,0.012270999999999999,0.13938499999999998,0.04568,0.25,0.579198,0.0014119999999999998,0.0,0.335016
No,0.358625,0.11819,0.69517,0.305798,0.102851,0.10559600000000001,0.25,0.760695,0.659558,0.000188,0.11819
